id,intitule,reponse,difficulte,matiere
0,Quel est le nom de l’école où se déroulent les aventures d’Harry Potter?,poudlard,0,4
1,Comment s'appelle le bonhomme moustachu avec une tenue rouge?,mario,0,4
2,Comment s'appelle le petit garçon qui vit dans les bois avec les autres animaux?,tarzan,0,4
3,Quelle couleur obtient t-on en mélangeant du rouge et du jaune?,orange,1,4
4,Le drapeau russe est blanc bleu et…?,rouge,1,4
5,Qui a mis le premier le pied sur la Lune?,neil armstrong,1,4
6,Quelle est l’altitude du Mont-Blanc? (Donner en mètres),4808,2,4
7,Quelle est la planète la plus proche du soleil?,mercure,2,4
8,Qu'es-ce qui est petit et marron?,un marron,2,4
9,Donnez le verbe donner en anglais,give,0,5
10,"Que veut dire ""see""?",voir,0,5
11,Donnez le mot bonjour en anglais,hello,0,5
12,Quel est l'infinitif de plongèrent?,plonger,0,0
13,À quel temps appartient ce verbe: tu mangeras,futur,0,0
14,Donnez le verbe dormir au passé simple à la 1ère personne du pluriel,dormi,0,0
15,Quel est le pronom de cette phrase: tu mets le stylo sur la table,tu,1,0
16,Donnez le verbe jouer au futur à la 3ème personne du pluriel,ils jouerons,1,0
17,Faut il mettre ai ou ei ici: un appar_l,ei,1,0
18,Donnez le verbe sauter au passé composé à la 2ème personne du singulier,tu as sauté,2,0
19,Donnez le verbe utiliser au passé composé à la 2ème personne du pluriel,vous avez utilisé,2,0
20,Est-ce une métaphore ou une comparaison: être rapide comme l'éclair,comparaison,2,0
21,Comment s'appelle l'explorateur avec un T-shirt bleu accompagné d'un chien blanc?,tintin,1,6
22,Comment s'appelle le livre ou un petit garçon demande à un monsieur de dessiner un mouton?,le petit prince,1,6
23,Comment s'appelle le chat roux qui aime manger des lasagnes?,garfield,1,6
24,Comment s'appelle l'outil qui dirige la flèche sur l'écran?,souris,2,6
25,Comment s'appelle l'outil rempli de touche avec des lettres dessus?,clavier,2,6
26,Comment s'appelle l'outil qui permet d'aller sur des sites?,internet,2,6
27,"Qui a ""créer"" l'école?",charlemagne,0,1
28,Qui était l'empereur de la Rome en 58 avant J.C.?,césar,0,1
29,En quelle année est mort Napoléon?,1821,0,1
30,Dans quel continent se trouve la France?,europe,1,2
31,Quel est la capitale du Luxembourg?,luxembourg,1,2
32,Combien y a t'il de continents dans le monde?,7,1,2
33,Combien font 10 + 25?,35,0,3
34,Combien font 43 + 51?,94,0,3
35,Combien font 102 + 86?,188,0,3
36,Combien font 2 × 9?,18,1,3
37,Combien font 5 × 13?,75,1,3
38,Combien font 16 × 10?,160,1,3
39,Combien font 70 ÷ 7?,10,2,3
40,Combien font 50 + 12 × 6?,122,2,3
41,Combien font 20 ÷ 2 × 5?,50,2,3
